Year,Units,Sex,Age,Region,County,Local Authority,Disability status,Ethnicity,Ethnic group,Employment status,GeoCode,Value
2011,Percentage (%),Female,16 to 24,,,,,,,,,97.3
2011,Percentage (%),Female,25 to 34,,,,,,,,,96.1
2011,Percentage (%),Female,35 to 44,,,,,,,,,92.9
2011,Percentage (%),Female,45 to 54,,,,,,,,,86.2
2011,Percentage (%),Female,55 to 64,,,,,,,,,73.3
2011,Percentage (%),Female,65 to 74,,,,,,,,,47.1
2011,Percentage (%),Female,75 and over,,,,,,,,,13.1
2011,Percentage (%),Female,,,,,,,,,,76.8
2011,Percentage (%),Male,16 to 24,,,,,,,,,97.7
2011,Percentage (%),Male,25 to 34,,,,,,,,,96.0
2011,Percentage (%),Male,35 to 44,,,,,,,,,93.4
2011,Percentage (%),Male,45 to 54,,,,,,,,,86.6
2011,Percentage (%),Male,55 to 64,,,,,,,,,76.2
2011,Percentage (%),Male,65 to 74,,,,,,,,,57.4
2011,Percentage (%),Male,75 and over,,,,,,,,,29.3
2011,Percentage (%),Male,,,,,,,,,,82.1
2011,Percentage (%),,16 to 24,,,,,,,,,97.5
2011,Percentage (%),,25 to 34,,,,,,,,,96.0
2011,Percentage (%),,35 to 44,,,,,,,,,93.2
2011,Percentage (%),,45 to 54,,,,,,,,,86.4
2011,Percentage (%),,55 to 64,,,,,,,,,74.7
2011,Percentage (%),,65 to 74,,,,,,,,,52.0
2011,Percentage (%),,75 and over,,,,,,,,,19.9
2011,Percentage (%),,,East Midlands,,,,,,,E12000004,78.2
2011,Percentage (%),,,East of England,,,,,,,E12000006,81.7
2011,Percentage (%),,,London,,,,,,,E12000007,83.2
2011,Percentage (%),,,North East,,,,,,,E12000001,74.3
2011,Percentage (%),,,North West,,,,,,,E12000002,76.7
2011,Percentage (%),,,Northern Ireland,,,,,,,N92000002,68.7
2011,Percentage (%),,,Scotland,,,,,,,S92000003,78.5
2011,Percentage (%),,,South East,,,,,,,E12000008,83.5
2011,Percentage (%),,,South West,,,,,,,E12000009,81.1
2011,Percentage (%),,,Wales,,,,,,,W92000004,77.4
2011,Percentage (%),,,West Midlands,,,,,,,E12000005,76.5
2011,Percentage (%),,,Yorkshire and the Humber,,,,,,,,78.4
2011,Percentage (%),,,,,,,Asian/Asian British,Bangladeshi,,,67.9
2011,Percentage (%),,,,,,,Black/African/Caribbean/Black British,,,,81.7
2011,Percentage (%),,,,,,,Asian/Asian British,Chinese,,,92.2
2011,Percentage (%),,,,,,,Asian/Asian British,Indian,,,82.4
2011,Percentage (%),,,,,,,Mixed/multiple ethnic groups,,,,93.1
2011,Percentage (%),,,,,,,Asian/Asian British,Any other Asian background,,,87.1
2011,Percentage (%),,,,,,,Other ethnic group,,,,85.7
2011,Percentage (%),,,,,,,Asian/Asian British,Pakistani,,,72.6
2011,Percentage (%),,,,,,,White,,,,79.0
2011,Percentage (%),,,,,,,,,Employed,,93.2
2011,Percentage (%),,,,,,,,,Government employment & training programmes,,90.8
2011,Percentage (%),,,,,,,,,Inactive,,69.9
2011,Percentage (%),,,,,,,,,Retired,,39.8
2011,Percentage (%),,,,,,,,,Self-employed,,89.8
2011,Percentage (%),,,,,,,,,Student,,98.7
2011,Percentage (%),,,,,,,,,Unemployed,,89.8
2011,Percentage (%),,,,,,,,,Unpaid family worker,,83.9
2011,Percentage (%),,,,,,,,,,,79.4
2012,Percentage (%),Female,16 to 24,,,,,,,,,97.6
2012,Percentage (%),Female,25 to 34,,,,,,,,,96.5
2012,Percentage (%),Female,35 to 44,,,,,,,,,94.0
2012,Percentage (%),Female,45 to 54,,,,,,,,,87.4
2012,Percentage (%),Female,55 to 64,,,,,,,,,76.3
2012,Percentage (%),Female,65 to 74,,,,,,,,,51.2
2012,Percentage (%),Female,75 and over,,,,,,,,,17.6
2012,Percentage (%),Female,,,,,,,,,,78.4
2012,Percentage (%),Male,16 to 24,,,,,,,,,97.7
2012,Percentage (%),Male,25 to 34,,,,,,,,,96.8
2012,Percentage (%),Male,35 to 44,,,,,,,,,94.4
2012,Percentage (%),Male,45 to 54,,,,,,,,,88.3
2012,Percentage (%),Male,55 to 64,,,,,,,,,79.6
2012,Percentage (%),Male,65 to 74,,,,,,,,,61.7
2012,Percentage (%),Male,75 and over,,,,,,,,,30.2
2012,Percentage (%),Male,,,,,,,,,,83.5
2012,Percentage (%),,16 to 24,,,,,,,,,97.6
2012,Percentage (%),,25 to 34,,,,,,,,,96.7
2012,Percentage (%),,35 to 44,,,,,,,,,94.2
2012,Percentage (%),,45 to 54,,,,,,,,,87.8
2012,Percentage (%),,55 to 64,,,,,,,,,77.9
2012,Percentage (%),,65 to 74,,,,,,,,,56.2
2012,Percentage (%),,75 and over,,,,,,,,,22.9
2012,Percentage (%),,,,,Derby,,,,,E06000015,73.5
2012,Percentage (%),,,,,East Derbyshire,,,,,E12000004,77.2
2012,Percentage (%),,,,,Leicester,,,,,E06000016,78.5
2012,Percentage (%),,,,,Leicestershire CC and Rutland,,,,,E12000004,81.2
2012,Percentage (%),,,,,Lincolnshire,,,,,E12000004,80.0
2012,Percentage (%),,,,,North Nottinghamshire,,,,,E10000024,77.4
2012,Percentage (%),,,,,Nottingham,,,,,E06000018,74.7
2012,Percentage (%),,,,,South and West Derbyshire,,,,,E12000004,83.1
2012,Percentage (%),,,,,South Nottinghamshire,,,,,E10000024,79.0
2012,Percentage (%),,,East Midlands,,,,,,,E12000004,79.8
2012,Percentage (%),,,,,Cambridgeshire CC,,,,,E12000006,84.3
2012,Percentage (%),,,,,Hertfordshire,,,,,E12000006,85.2
